latitude,longitude
13.0374712,80.2488002
13.0391169,80.249091
13.0375302,80.2488062
13.0378968,80.2488517
13.0373377,80.248782
13.0278257,80.2475518
13.0272532,80.2487012
13.025542,80.2506798
13.0242249,80.2501642
13.0261511,80.2462839
13.0358151,80.253586
13.0363106,80.2536212
13.0358954,80.2519613
13.0351525,80.2535574
13.0360266,80.2551798
13.0363954,80.2527423
13.0358633,80.2526959
13.0365001,80.2510042
13.0367043,80.2500061
13.0360149,80.2509039
13.0368945,80.2510994
13.0392191,80.2483733
13.0390471,80.2496239
13.037091,80.2498472
13.0377279,80.2499033
13.0379696,80.2480883
13.0376358,80.2505213
13.0378514,80.2505382
13.0383904,80.2505697
13.0388945,80.2506358
13.0435045,80.2596472
13.0428017,80.2611649
13.0400197,80.2580826
13.0392457,80.2613411
13.0338018,80.2497848
13.0393767,80.2618782
13.0409952,80.2616492
13.0410071,80.2610929
13.0431596,80.2611823
13.0317458,80.2546877
13.0318664,80.2534287
13.0349785,80.2556048
13.0360114,80.2557463
13.0349461,80.2559179
13.033406,80.2558139
13.0372191,80.2511436
13.0410104,80.2562506
13.0539183,80.2642145
13.0446531,80.2667369
13.0380278,80.2631891
13.0376054,80.239601
13.0368446,80.2395071
13.0360469,80.2393957
13.0362169,80.2379377
13.0356608,80.2369
13.0360924,80.2375704
13.0350786,80.2385798
13.0349146,80.2422221
13.0335706,80.2410743
13.0368088,80.2429324
13.0359729,80.2426967
13.0390602,80.2434101
13.0363377,80.2394517
13.0377661,80.243074
13.0387289,80.2397461
13.0371847,80.2395492
13.0381504,80.239674
13.0398721,80.2398763
13.0397775,80.2407522
13.0386388,80.2404359
13.0383946,80.2426306
13.0393205,80.2407204
13.0391293,80.2426959
13.0334316,80.2393225
13.033986,80.2390372
13.0359881,80.2438456
13.0396825,80.2452435
13.0384612,80.244563
13.0409708,80.2456203
13.0379339,80.2443866
13.036267,80.2428042
13.0357053,80.2450218
13.0379673,80.2456178
13.0279203,80.2269157
13.02859,80.2240573
13.0288916,80.2240458
13.0311889,80.2242997
13.0314179,80.2225448
13.0281886,80.2240127
13.0275971,80.2240573
13.0268297,80.224105
13.0261938,80.224207
13.0301835,80.2259088
13.0299075,80.2274105
13.0286918,80.2255814
13.0284037,80.2271665
13.0283147,80.2279158
13.0286124,80.225965
13.0301021,80.2263279
13.0289763,80.2260559
13.0294015,80.2261726
13.0298222,80.2262754
13.0297526,80.2266101
13.0293366,80.2265379
13.0297055,80.2269544
13.029283,80.2268707
13.0263539,80.2297539
13.0289781,80.2301552
13.0278774,80.2278808
13.027009,80.2278012
13.0273241,80.2278279
13.0283521,80.2301954
13.0296883,80.2285766
13.029133,80.2285638
13.0296388,80.2291233
13.0296458,80.2288621
13.0292406,80.2291055
13.0303219,80.2288912
13.0291866,80.2288414
13.0309712,80.228678
13.0311182,80.2274348
13.0313001,80.2287045
13.0313424,80.2274578
13.0316741,80.2287575
13.032062,80.2288271
13.0324687,80.2288777
13.0333308,80.2289734
13.0337266,80.2274388
13.0327787,80.2266144
13.0339472,80.2290496
13.0321299,80.2298247
13.0369024,80.2277334
13.0375841,80.2279979
13.0368028,80.2280463
13.0352996,80.22768
